model,reduction,step,measure,mean_pct,sample_sd_pct,seed42_pct,seed43_estimate_pct,seed44_estimate_pct
M-I64-DR,DR,50,Math,69.60000000000001,1.3999999999999986,69.6,71.0,68.2
M-I64-DR,DR,50,Code,17.1875,2.34375,17.1875,19.53125,14.84375
M-I64-DR,DR,50,IF,19.0,1.666666666666666,19.0,17.333333333333336,20.666666666666668
M-I64-DR,DR,50,GPQA,31.691919191919194,1.1363636363636367,31.691919191919194,32.82828282828283,30.555555555555557
M-I64-DR,DR,50,mean,34.3698547979798,0.8033617424242436,34.3698547979798,35.17321654040404,33.566493055555554
M-I64-DR,DR,50,worst_change,-1.0488215488215455,0.5697527851923131,-0.5050505050505016,-0.9999999999999964,-1.6414141414141383
M-I64-DR,DR,100,Math,71.6,1.4000000000000057,71.6,73.0,70.19999999999999
M-I64-DR,DR,100,Code,17.96875,2.34375,17.96875,20.3125,15.625
M-I64-DR,DR,100,IF,19.0,1.666666666666666,19.0,17.333333333333336,20.666666666666668
M-I64-DR,DR,100,GPQA,32.7020202020202,1.1363636363636385,32.70202020202021,33.83838383838384,31.565656565656564
M-I64-DR,DR,100,mean,35.31769255050505,0.8033617424242436,35.31769255050505,36.121054292929294,34.51433080808081
M-I64-DR,DR,100,worst_change,-0.42539983164982803,0.8131827976687235,0.5050505050505123,-0.9999999999999964,-0.78125
M-I64-DR,DR,250,Math,74.8,1.3999999999999986,74.8,76.2,73.4
M-I64-DR,DR,250,Code,17.96875,2.34375,17.96875,20.3125,15.625
M-I64-DR,DR,250,IF,26.0,1.666666666666666,26.0,24.333333333333336,27.666666666666668
M-I64-DR,DR,250,GPQA,33.96464646464646,1.1363636363636331,33.964646464646464,35.1010101010101,32.82828282828283
M-I64-DR,DR,250,mean,38.183349116161615,0.8033617424242401,38.183349116161615,38.98671085858586,37.37998737373738
M-I64-DR,DR,250,worst_change,1.2284301346801338,1.8652193829987376,1.5625,2.9040404040404013,-0.78125
M-I64-DR,DR,500,Math,75.8,1.2000000000000028,75.8,77.0,74.6
M-I64-DR,DR,500,Code,17.96875,2.34375,17.96875,20.3125,15.625
M-I64-DR,DR,500,IF,27.333333333333332,1.666666666666666,27.333333333333332,25.666666666666664,28.999999999999996
M-I64-DR,DR,500,GPQA,33.207070707070706,1.1363636363636331,33.207070707070706,34.34343434343434,32.07070707070707
M-I64-DR,DR,500,mean,38.577288510101006,0.7533617424242394,38.577288510101006,39.330650252525245,37.82392676767677
